Year,AverageAttendance,TotalAttendance
2014,52918,3429873
2010,49669,3178856
2006,52491,3359439
2002,42268,2705197
1998,43517,2785100
1994,68991,3587538
1990,48388,2516215
1986,46039,2394031
1982,40571,2109723
1978,40678,1545791
1974,49098,1865753
1970,50124,1603975
1966,48847,1563135
1962,27911,893172
1958,23423,819810
1954,29561,768607
1950,47511,1045246
1938,20872,375700
1934,21352,363000
1930,32808,590549
